Model selection results for subset: 1c257aec2019420580f97e48aae0afe4
Subset alignment stored here: ./analysis/phylofiles/1c257aec2019420580f97e48aae0afe4.phy
This subset contains the following data_blocks: Gene1_codon1
Number of columns in subset: 217
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
TVMEF+I+G       | 6               | -871.894        | 1756.19          | 1755.79         | 1776.07        
SYM+I+G         | 7               | -871.815        | 1758.17          | 1757.63         | 1781.29        
TVM+I+G         | 9               | -869.768        | 1758.4           | 1757.54         | 1787.95        
GTR+I+G         | 10              | -869.712        | 1760.49          | 1759.42         | 1793.22        
TVMEF+I         | 5               | -877.387        | 1765.06          | 1764.77         | 1781.67        
K81+I+G         | 4               | -879.217        | 1766.62          | 1766.43         | 1779.95        
HKY+I+G         | 6               | -877.202        | 1766.8           | 1766.4          | 1786.68        
K80+I+G         | 3               | -880.353        | 1766.82          | 1766.71         | 1776.85        
TVM+I           | 8               | -875.07         | 1766.83          | 1766.14         | 1793.18        
K81UF+I+G       | 7               | -876.24         | 1767.02          | 1766.48         | 1790.14        
SYM+I           | 6               | -877.328        | 1767.06          | 1766.66         | 1786.93        
TIMEF+I+G       | 5               | -879.047        | 1768.38          | 1768.09         | 1784.99        
TRNEF+I+G       | 4               | -880.195        | 1768.58          | 1768.39         | 1781.91        
TRN+I+G         | 7               | -877.159        | 1768.85          | 1768.32         | 1791.98        
GTR+I           | 9               | -875.077        | 1769.02          | 1768.15         | 1798.57        
TIM+I+G         | 8               | -876.184        | 1769.06          | 1768.37         | 1795.41        
TVMEF+G         | 5               | -881.148        | 1772.58          | 1772.3          | 1789.2         
K81+I           | 3               | -883.804        | 1773.72          | 1773.61         | 1783.75        
HKY+I           | 5               | -881.838        | 1773.96          | 1773.68         | 1790.57        
K80+I           | 2               | -884.954        | 1773.96          | 1773.91         | 1780.67        
K81UF+I         | 6               | -880.854        | 1774.11          | 1773.71         | 1793.99        
SYM+G           | 6               | -881.113        | 1774.63          | 1774.23         | 1794.51        
TVM+G           | 8               | -879.034        | 1774.76          | 1774.07         | 1801.11        
TIMEF+I         | 4               | -883.751        | 1775.69          | 1775.5          | 1789.02        
TRNEF+I         | 3               | -884.9          | 1775.91          | 1775.8          | 1785.94        
TRN+I           | 6               | -881.837        | 1776.07          | 1775.67         | 1795.95        
TIM+I           | 7               | -880.854        | 1776.24          | 1775.71         | 1799.37        
GTR+G           | 9               | -879.035        | 1776.94          | 1776.07         | 1806.49        
K81+G           | 3               | -887.85         | 1781.81          | 1781.7          | 1791.84        
K80+G           | 2               | -889.004        | 1782.06          | 1782.01         | 1788.77        
HKY+G           | 5               | -886.0          | 1782.28          | 1782.0          | 1798.9         
K81UF+G         | 6               | -885.006        | 1782.41          | 1782.01         | 1802.29        
TIMEF+G         | 4               | -887.822        | 1783.83          | 1783.64         | 1797.16        
TRNEF+G         | 3               | -888.975        | 1784.06          | 1783.95         | 1794.09        
TRN+G           | 6               | -885.999        | 1784.4           | 1784.0          | 1804.28        
TIM+G           | 7               | -885.005        | 1784.55          | 1784.01         | 1807.67        
JC+I+G          | 2               | -909.319        | 1822.69          | 1822.64         | 1829.4         
F81+I+G         | 5               | -907.275        | 1824.83          | 1824.55         | 1841.45        
JC+I            | 1               | -913.85         | 1829.72          | 1829.7          | 1833.08        
F81+I           | 4               | -911.783        | 1831.76          | 1831.57         | 1845.09        
JC+G            | 1               | -917.83         | 1837.68          | 1837.66         | 1841.04        
F81+G           | 4               | -915.801        | 1839.79          | 1839.6          | 1853.12        
TVMEF           | 4               | -945.757        | 1899.7           | 1899.51         | 1913.03        
SYM             | 5               | -945.604        | 1901.49          | 1901.21         | 1918.11        
TVM             | 7               | -944.724        | 1903.98          | 1903.45         | 1927.11        
GTR             | 8               | -944.368        | 1905.43          | 1904.74         | 1931.78        
K81             | 2               | -953.789        | 1911.63          | 1911.58         | 1918.34        
K80             | 1               | -954.973        | 1911.96          | 1911.95         | 1915.33        
TIMEF           | 3               | -953.636        | 1913.39          | 1913.27         | 1923.41        
TRNEF           | 2               | -954.82         | 1913.7           | 1913.64         | 1920.4         
K81UF           | 5               | -951.988        | 1914.26          | 1913.98         | 1930.88        
HKY             | 4               | -953.119        | 1914.43          | 1914.24         | 1927.76        
TIM             | 6               | -951.63         | 1915.66          | 1915.26         | 1935.54        
TRN             | 5               | -952.761        | 1915.81          | 1915.52         | 1932.42        
JC              | 0               | -983.205        | 1966.41          | 1966.41         | 1966.41        
F81             | 3               | -981.51         | 1969.13          | 1969.02         | 1979.16        
