Model selection results for subset: b8eb433dd39e543b68d83dc0fff3398d
Subset alignment stored here: ./analysis/phylofiles/b8eb433dd39e543b68d83dc0fff3398d.phy
This subset contains the following data_blocks: Gene2_codon1
Number of columns in subset: 644
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
GTR+I+G         | 10              | -2943.89        | 5908.12          | 5907.78         | 5952.45        
TVM+I+G         | 9               | -2949.89        | 5918.06          | 5917.78         | 5957.99        
TIM+I+G         | 8               | -2953.36        | 5922.95          | 5922.73         | 5958.47        
TRN+I+G         | 7               | -2954.69        | 5923.55          | 5923.37         | 5954.65        
SYM+I+G         | 7               | -2956.49        | 5927.16          | 5926.98         | 5958.26        
TVMEF+I+G       | 6               | -2958.32        | 5928.77          | 5928.64         | 5955.44        
K81UF+I+G       | 7               | -2959.45        | 5933.07          | 5932.89         | 5964.17        
HKY+I+G         | 6               | -2960.77        | 5933.67          | 5933.54         | 5960.35        
TIMEF+I+G       | 5               | -2967.33        | 5944.76          | 5944.67         | 5967.0         
TRNEF+I+G       | 4               | -2968.5         | 5945.06          | 5945.0          | 5962.87        
K81+I+G         | 4               | -2969.06        | 5946.19          | 5946.13         | 5964.0         
K80+I+G         | 3               | -2970.23        | 5946.5           | 5946.46         | 5959.87        
GTR+G           | 9               | -2966.43        | 5951.14          | 5950.86         | 5991.07        
TIM+G           | 7               | -2974.65        | 5963.47          | 5963.29         | 5994.57        
TRN+G           | 6               | -2975.91        | 5963.96          | 5963.83         | 5990.63        
TVM+G           | 8               | -2976.44        | 5969.1           | 5968.88         | 6004.62        
SYM+G           | 6               | -2980.76        | 5973.64          | 5973.51         | 6000.32        
TVMEF+G         | 5               | -2984.46        | 5979.02          | 5978.93         | 6001.27        
K81UF+G         | 6               | -2984.22        | 5980.58          | 5980.44         | 6007.25        
HKY+G           | 5               | -2985.42        | 5980.93          | 5980.83         | 6003.17        
TIMEF+G         | 4               | -2990.14        | 5988.34          | 5988.28         | 6006.15        
TRNEF+G         | 3               | -2991.25        | 5988.54          | 5988.51         | 6001.91        
K81+G           | 3               | -2993.35        | 5992.75          | 5992.71         | 6006.11        
K80+G           | 2               | -2994.45        | 5992.92          | 5992.9          | 6001.83        
GTR+I           | 9               | -2993.22        | 6004.72          | 6004.44         | 6044.65        
TVM+I           | 8               | -2999.71        | 6015.64          | 6015.42         | 6051.16        
TIM+I           | 7               | -3001.78        | 6017.74          | 6017.56         | 6048.84        
TRN+I           | 6               | -3002.99        | 6018.1           | 6017.97         | 6044.78        
SYM+I           | 6               | -3007.27        | 6026.67          | 6026.54         | 6053.34        
TVMEF+I         | 5               | -3008.38        | 6026.84          | 6026.75         | 6049.09        
K81UF+I         | 6               | -3008.19        | 6028.52          | 6028.39         | 6055.19        
HKY+I           | 5               | -3009.46        | 6029.01          | 6028.91         | 6051.25        
TIMEF+I         | 4               | -3016.34        | 6040.73          | 6040.67         | 6058.54        
TRNEF+I         | 3               | -3017.44        | 6040.91          | 6040.88         | 6054.28        
K81+I           | 3               | -3017.46        | 6040.96          | 6040.92         | 6054.32        
K80+I           | 2               | -3018.57        | 6041.15          | 6041.13         | 6050.07        
JC+I+G          | 2               | -3192.34        | 6388.7           | 6388.68         | 6397.61        
F81+I+G         | 5               | -3193.0         | 6396.09          | 6396.0          | 6418.34        
JC+G            | 1               | -3214.61        | 6431.23          | 6431.23         | 6435.69        
F81+G           | 4               | -3214.54        | 6437.14          | 6437.08         | 6454.95        
GTR             | 8               | -3223.33        | 6462.89          | 6462.66         | 6498.41        
TIM             | 6               | -3229.52        | 6471.18          | 6471.05         | 6497.85        
TRN             | 5               | -3230.76        | 6471.62          | 6471.52         | 6493.86        
JC+I            | 1               | -3236.9         | 6475.81          | 6475.8          | 6480.27        
F81+I           | 4               | -3237.07        | 6482.2           | 6482.14         | 6500.01        
SYM             | 5               | -3239.76        | 6489.61          | 6489.52         | 6511.86        
TIMEF           | 3               | -3246.73        | 6499.5           | 6499.47         | 6512.87        
TRNEF           | 2               | -3247.92        | 6499.87          | 6499.85         | 6508.78        
TVMEF           | 4               | -3259.15        | 6526.36          | 6526.29         | 6544.16        
TVM             | 7               | -3260.92        | 6536.02          | 6535.84         | 6567.12        
K81             | 2               | -3266.13        | 6536.29          | 6536.27         | 6545.2         
K80             | 1               | -3267.33        | 6536.67          | 6536.66         | 6541.13        
K81UF           | 5               | -3267.13        | 6544.36          | 6544.27         | 6566.6         
HKY             | 4               | -3268.37        | 6544.81          | 6544.74         | 6562.61        
F81             | 3               | -3473.98        | 6954.0           | 6953.96         | 6967.36        
JC              | 0               | -3478.69        | 6957.38          | 6957.38         | 6957.38        
