Model selection results for subset: c5f6120cb5b2d5df05f021d3a11b356f
Subset alignment stored here: ./analysis/phylofiles/c5f6120cb5b2d5df05f021d3a11b356f.phy
This subset contains the following data_blocks: Gene3_c1
Number of columns in subset: 343
Models are organised according to their AICc scores

Model           | Parameters      | lnL             | AICc             | AIC             | BIC            
SYM+I+G         | 7               | -5469.24        | 10952.8          | 10952.5         | 10979.3        
GTR+I+G         | 10              | -5466.66        | 10954.0          | 10953.3         | 10991.7        
SYM+G           | 6               | -5474.64        | 10961.5          | 10961.3         | 10984.3        
GTR+G           | 9               | -5472.35        | 10963.2          | 10962.7         | 10997.2        
TRNEF+I+G       | 4               | -5482.47        | 10973.1          | 10972.9         | 10988.3        
TIMEF+I+G       | 5               | -5482.14        | 10974.5          | 10974.3         | 10993.5        
TRN+I+G         | 7               | -5480.24        | 10974.8          | 10974.5         | 11001.3        
TIM+I+G         | 8               | -5480.1         | 10976.6          | 10976.2         | 11006.9        
TVMEF+I+G       | 6               | -5482.88        | 10978.0          | 10977.8         | 11000.8        
TRNEF+G         | 3               | -5490.94        | 10988.0          | 10987.9         | 10999.4        
TIMEF+G         | 4               | -5490.68        | 10989.5          | 10989.4         | 11004.7        
TVM+I+G         | 9               | -5485.54        | 10989.6          | 10989.1         | 11023.6        
TRN+G           | 6               | -5488.84        | 10989.9          | 10989.7         | 11012.7        
TIM+G           | 7               | -5488.73        | 10991.8          | 10991.5         | 11018.3        
K80+I+G         | 3               | -5494.18        | 10994.4          | 10994.4         | 11005.9        
K81+I+G         | 4               | -5493.84        | 10995.8          | 10995.7         | 11011.0        
TVMEF+G         | 5               | -5494.54        | 10999.3          | 10999.1         | 11018.3        
HKY+I+G         | 6               | -5497.35        | 11007.0          | 11006.7         | 11029.7        
K81UF+I+G       | 7               | -5497.19        | 11008.7          | 11008.4         | 11035.2        
TVM+G           | 8               | -5498.65        | 11013.7          | 11013.3         | 11044.0        
K80+G           | 2               | -5508.5         | 11021.0          | 11021.0         | 11028.7        
K81+G           | 3               | -5508.23        | 11022.5          | 11022.5         | 11034.0        
HKY+G           | 5               | -5512.96        | 11036.1          | 11035.9         | 11055.1        
K81UF+G         | 6               | -5512.82        | 11037.9          | 11037.6         | 11060.7        
SYM+I           | 6               | -5626.95        | 11266.2          | 11265.9         | 11288.9        
GTR+I           | 9               | -5624.64        | 11267.8          | 11267.3         | 11301.8        
TRNEF+I         | 3               | -5635.98        | 11278.0          | 11278.0         | 11289.5        
TRN+I           | 6               | -5633.51        | 11279.3          | 11279.0         | 11302.0        
TIMEF+I         | 4               | -5635.75        | 11279.6          | 11279.5         | 11294.9        
TIM+I           | 7               | -5633.37        | 11281.1          | 11280.7         | 11307.6        
TVMEF+I         | 5               | -5670.11        | 11350.4          | 11350.2         | 11369.4        
K80+I           | 2               | -5679.49        | 11363.0          | 11363.0         | 11370.7        
K81+I           | 3               | -5679.26        | 11364.6          | 11364.5         | 11376.0        
TVM+I           | 8               | -5679.84        | 11376.1          | 11375.7         | 11406.4        
HKY+I           | 5               | -5688.98        | 11388.1          | 11388.0         | 11407.2        
K81UF+I         | 6               | -5688.83        | 11389.9          | 11389.7         | 11412.7        
JC+I+G          | 2               | -5946.1         | 11896.2          | 11896.2         | 11903.9        
JC+G            | 1               | -5958.64        | 11919.3          | 11919.3         | 11923.1        
F81+I+G         | 5               | -5970.51        | 11951.2          | 11951.0         | 11970.2        
F81+G           | 4               | -5982.57        | 11973.3          | 11973.1         | 11988.5        
JC+I            | 1               | -6120.26        | 12242.5          | 12242.5         | 12246.4        
F81+I           | 4               | -6142.85        | 12293.8          | 12293.7         | 12309.1        
SYM             | 5               | -6205.69        | 12421.6          | 12421.4         | 12440.6        
GTR             | 8               | -6213.75        | 12443.9          | 12443.5         | 12474.2        
TRNEF           | 2               | -6225.93        | 12455.9          | 12455.9         | 12463.5        
TIMEF           | 3               | -6225.54        | 12457.1          | 12457.1         | 12468.6        
TRN             | 5               | -6231.8         | 12473.8          | 12473.6         | 12492.8        
TIM             | 6               | -6231.45        | 12475.2          | 12474.9         | 12497.9        
TVMEF           | 4               | -6322.27        | 12652.7          | 12652.5         | 12667.9        
K80             | 1               | -6342.77        | 12687.6          | 12687.5         | 12691.4        
K81             | 2               | -6342.35        | 12688.7          | 12688.7         | 12696.4        
TVM             | 7               | -6345.95        | 12706.2          | 12705.9         | 12732.8        
HKY             | 4               | -6364.21        | 12736.5          | 12736.4         | 12751.8        
K81UF           | 5               | -6363.83        | 12737.8          | 12737.7         | 12756.8        
JC              | 0               | -6768.17        | 13536.3          | 13536.3         | 13536.3        
F81             | 3               | -6791.42        | 13588.9          | 13588.8         | 13600.3        
