INFO     | 2017-08-23 18:32:29,904 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-08-23 18:32:29,907 | config     | Setting 'alignment' to 'MuellerAlignmnetJan12FINAL.nex'
INFO     | 2017-08-23 18:32:29,908 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-08-23 18:32:29,908 | parser     | You set 'models' to: GTR, GTR+G, GTR+I+G
INFO     | 2017-08-23 18:32:29,931 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2017-08-23 18:32:29,932 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2017-08-23 18:32:29,932 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2017-08-23 18:32:29,933 | config     | Setting 'search' to 'greedy'
INFO     | 2017-08-23 18:32:29,934 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2017-08-23 18:32:29,934 | config     | Looking for alignment file './MuellerAlignmnetJan12FINAL.nex'...
INFO     | 2017-08-23 18:32:29,941 | threadpool | Using 4 cpus
INFO     | 2017-08-23 18:32:29,941 | analysis   | Beginning Analysis
INFO     | 2017-08-23 18:32:29,957 | alignment  | Reading alignment file './MuellerAlignmnetJan12FINAL.nex'
INFO     | 2017-08-23 18:32:29,965 | analysis   | Starting tree will be estimated from the data.
INFO     | 2017-08-23 18:32:29,966 | raxml      | Estimating Maximum Likelihood tree with RAxML fast experimental tree search for ./analysis/start_tree/filtered_source.phy
INFO     | 2017-08-23 18:32:29,966 | raxml      | Using a separate GTR+G model for each data block
INFO     | 2017-08-23 18:32:36,286 | raxml      | Estimating GTR+G branch lengths on ML tree using all partitions
INFO     | 2017-08-23 18:32:41,697 | raxml      | ML topology estimation finished
INFO     | 2017-08-23 18:32:41,698 | analysis_m | Performing Greedy Analysis
INFO     | 2017-08-23 18:32:41,699 | analysis_m |    *** Analysing starting scheme ***
INFO     | 2017-08-23 18:33:22,802 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2017-08-23 18:33:25,935 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2017-08-23 18:33:30,586 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2017-08-23 18:33:30,587 | analysis_m |    ***Greedy algorithm step 1***
INFO     | 2017-08-23 18:33:30,587 | analysis_m |       Analysing 3 new subset pairs
INFO     | 2017-08-23 18:34:43,774 | progress   |       Finished subset 1/3, 33.33 percent done
INFO     | 2017-08-23 18:34:58,825 | progress   |       Finished subset 2/3, 66.67 percent done
INFO     | 2017-08-23 18:35:04,688 | progress   |       Finished subset 3/3, 100.00 percent done
INFO     | 2017-08-23 18:35:04,689 | analysis_m |       Finding the best partitioning scheme
INFO     | 2017-08-23 18:35:04,690 | analysis_m |       Best scheme combines subsets: 'Gene1_pos1' and 'Gene1_pos2'
INFO     | 2017-08-23 18:35:04,690 | analysis_m |       The best scheme improves the aicc score by 2.58 to 19526.2
INFO     | 2017-08-23 18:35:04,691 | analysis_m |    ***Greedy algorithm step 2***
INFO     | 2017-08-23 18:35:04,692 | analysis_m |       Analysing 1 new subset pairs
INFO     | 2017-08-23 18:35:36,962 | progress   |       Finished subset 1/1, 100.00 percent done
INFO     | 2017-08-23 18:35:36,963 | analysis_m |       Finding the best partitioning scheme
INFO     | 2017-08-23 18:35:36,963 | analysis_m |       Found no schemes that improve the score, stopping
INFO     | 2017-08-23 18:35:36,964 | analysis_m |    Greedy algorithm finished after 2 steps
INFO     | 2017-08-23 18:35:36,964 | analysis_m |    Best scoring scheme is scheme step_1, with aicc score of 19526.191
INFO     | 2017-08-23 18:35:36,964 | model_util |    Information on best scheme is here: ./analysis/best_scheme.txt
INFO     | 2017-08-23 18:35:36,965 | model_util |    
INFO     | 2017-08-23 18:35:36,965 | model_util |    
INFO     | 2017-08-23 18:35:36,966 | model_util |    *Citations for this analysis*
INFO     | 2017-08-23 18:35:36,966 | model_util |    -----------------------------
INFO     | 2017-08-23 18:35:36,966 | model_util |    
INFO     | 2017-08-23 18:35:36,966 | model_util |    If you use this analysis in your published work, please cite the following papers on which your analysis relied.
INFO     | 2017-08-23 18:35:36,966 | model_util |    
INFO     | 2017-08-23 18:35:36,966 | model_util |    For the version of PartitionFinder you used, please cite:
INFO     | 2017-08-23 18:35:36,966 | model_util |    Lanfear, R., Frandsen, P. B., Wright, A. M., Senfeld, T., Calcott, B. (2016) PartitionFinder 2: new methods for selecting partitioned models of evolution formolecular and morphological phylogenetic analyses. Molecular biology and evolution. DOI: dx.doi.org/10.1093/molbev/msw260
INFO     | 2017-08-23 18:35:36,966 | model_util |    
INFO     | 2017-08-23 18:35:36,966 | model_util |    For the greedy algorithm you used, please cite:
INFO     | 2017-08-23 18:35:36,967 | model_util |    Lanfear, R., Calcott, B., Ho, S. Y., & Guindon, S. (2012). PartitionFinder: combined selection of partitioning schemes and substitution models for phylogenetic analyses. Molecular biology and evolution, 29(6), 1695-1701.
INFO     | 2017-08-23 18:35:36,967 | model_util |    
INFO     | 2017-08-23 18:35:36,967 | model_util |    Your analysis also used PhyML, so please cite:
INFO     | 2017-08-23 18:35:36,967 | model_util |    Guindon, S., Dufayard, J. F., Lefort, V., Anisimova, M., Hordijk, W., & Gascuel, O. (2010). New algorithms and methods to estimate maximum-likelihood phylogenies: assessing the performance of PhyML 3.0. Systematic biology, 59(3), 307-321.
INFO     | 2017-08-23 18:35:36,967 | model_util |    
INFO     | 2017-08-23 18:35:36,969 | main       | Total processing time: 0:03:07 (h:m:s)
INFO     | 2017-08-23 18:35:36,969 | main       | Processing complete.
INFO     | 2017-08-23 18:39:02,650 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-08-23 18:39:02,654 | config     | Setting 'alignment' to 'MuellerAlignmnetJan12FINAL.nex'
INFO     | 2017-08-23 18:39:02,654 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-08-23 18:39:02,655 | parser     | You set 'models' to: GTR, GTR+G, GTR+I+G
INFO     | 2017-08-23 18:39:02,662 | model_load | This analysis will use the following 3 models of molecular evolution
INFO     | 2017-08-23 18:39:02,662 | model_load | GTR, GTR+G, GTR+I+G
INFO     | 2017-08-23 18:39:02,662 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2017-08-23 18:39:02,665 | config     | Setting 'search' to 'user'
INFO     | 2017-08-23 18:39:02,665 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2017-08-23 18:39:02,665 | config     | Looking for alignment file './MuellerAlignmnetJan12FINAL.nex'...
INFO     | 2017-08-23 18:39:02,670 | threadpool | Using 4 cpus
INFO     | 2017-08-23 18:39:02,670 | analysis   | Beginning Analysis
INFO     | 2017-08-23 18:39:02,679 | config     | Checking previously run configuration data...
INFO     | 2017-08-23 18:39:02,680 | alignment  | Reading alignment file './MuellerAlignmnetJan12FINAL.nex'
INFO     | 2017-08-23 18:39:02,686 | alignment  | Reading alignment file './analysis/start_tree/source.phy'
INFO     | 2017-08-23 18:39:02,695 | analysis   | Starting tree file found.
INFO     | 2017-08-23 18:39:02,697 | analysis_m | Performing User analysis
ERROR    | 2017-08-23 18:39:02,697 | analysis_m | Search set to 'user', but no user schemes detected in .cfg file. Please check.
ERROR    | 2017-08-23 18:39:02,698 | main       | Failed to run. See previous errors.
INFO     | 2017-08-23 18:40:28,813 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-08-23 18:40:28,817 | config     | Setting 'alignment' to 'MuellerAlignmnetJan12FINAL.nex'
INFO     | 2017-08-23 18:40:28,817 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-08-23 18:40:28,817 | parser     | You set 'models' to: allx
INFO     | 2017-08-23 18:40:28,831 | model_load | This analysis will use the following 84 models of molecular evolution
INFO     | 2017-08-23 18:40:28,831 | model_load | JC, K80, TRNEF, K81, TVMEF, TIMEF, SYM, F81, HKY, TRN, K81UF, TVM, TIM, GTR, F81+X, HKY+X, TRN+X, K81UF+X, TVM+X, TIM+X, GTR+X, JC+G, K80+G, TRNEF+G, K81+G, TVMEF+G, TIMEF+G, SYM+G, F81+G, HKY+G, TRN+G, K81UF+G, TVM+G, TIM+G, GTR+G, F81+G+X, HKY+G+X, TRN+G+X, K81UF+G+X, TVM+G+X, TIM+G+X, GTR+G+X, JC+I, K80+I, TRNEF+I, K81+I, TVMEF+I, TIMEF+I, SYM+I, F81+I, HKY+I, TRN+I, K81UF+I, TVM+I, TIM+I, GTR+I, F81+I+X, HKY+I+X, TRN+I+X, K81UF+I+X, TVM+I+X, TIM+I+X, GTR+I+X, JC+I+G, K80+I+G, TRNEF+I+G, K81+I+G, TVMEF+I+G, TIMEF+I+G, SYM+I+G, F81+I+G, HKY+I+G, TRN+I+G, K81UF+I+G, TVM+I+G, TIM+I+G, GTR+I+G, F81+I+G+X, HKY+I+G+X, TRN+I+G+X, K81UF+I+G+X, TVM+I+G+X, TIM+I+G+X, GTR+I+G+X
INFO     | 2017-08-23 18:40:28,832 | config     | Setting 'model_selection' to 'aicc'
INFO     | 2017-08-23 18:40:28,834 | config     | Setting 'search' to 'greedy'
INFO     | 2017-08-23 18:40:28,834 | config     | ------------------------ BEGINNING NEW RUN -------------------------------
INFO     | 2017-08-23 18:40:28,834 | config     | Looking for alignment file './MuellerAlignmnetJan12FINAL.nex'...
INFO     | 2017-08-23 18:40:28,841 | threadpool | Using 4 cpus
INFO     | 2017-08-23 18:40:28,841 | analysis   | Beginning Analysis
INFO     | 2017-08-23 18:40:28,853 | config     | Checking previously run configuration data...
INFO     | 2017-08-23 18:40:28,854 | alignment  | Reading alignment file './MuellerAlignmnetJan12FINAL.nex'
INFO     | 2017-08-23 18:40:28,862 | alignment  | Reading alignment file './analysis/start_tree/source.phy'
INFO     | 2017-08-23 18:40:28,869 | analysis   | Starting tree file found.
INFO     | 2017-08-23 18:40:28,870 | analysis_m | Performing Greedy Analysis
INFO     | 2017-08-23 18:40:28,870 | analysis_m |    *** Analysing starting scheme ***
ERROR    | 2017-08-23 18:42:11,280 | main       | User interrupted the Program
INFO     | 2017-08-23 18:42:56,936 | config     | Loading configuration at './partition_finder.cfg'
INFO     | 2017-08-23 18:42:56,940 | config     | Setting 'alignment' to 'MuellerAlignmnetJan12FINAL.nex'
INFO     | 2017-08-23 18:42:56,940 | config     | Setting 'branchlengths' to 'linked'
INFO     | 2017-08-23 18:42:56,941 | parser     | You set 'models' to: all
INFO     | 2017-08-23 18:42:56,952 | model_load | This analysis will use the following 56 models of molecular evolution
